class,score
0,3.8003868192782915
0,3.353883897975254
0,4.627363742187927
0,5.065488005194906
0,4.867891217501802
0,4.867891217501802
0,5.163606436856986
0,5.460677397253835
0,4.743893271744914
0,4.849233419350222
0,5.622063455740301
0,5.809769920449805
0,5.699329391389679
0,5.443576284695824
0,4.627363742187927
0,5.310828001446648
0,6.93394834951493
0,5.248670101753017
0,5.2232783742679
0,3.1269264335656493
0,5.632143799138919
0,5.50968886249058
0,5.551470660223827
0,5.443576284695824
0,5.443576284695824
0,5.642702681033126
0,5.458217300847203
0,2.746739536466757
0,5.926923501631116
0,5.839512890597948
0,6.0625584660526375
0,5.985079629126717
0,6.136804379834685
0,6.823748701174314
0,5.0520820471419
0,5.0702859749907425
0,2.5615435267411777
0,4.27596123682353
0,4.163006728926053
0,2.2947612509390596
0,2.5066241724938725
0,2.2947612509390596
0,2.2947612509390596
0,7.698002911870359
0,3.8003868192782915
0,5.0520820471419
0,7.255734382097736
0,8.363963805908977
0,7.652774674373054
0,5.260460393281514
0,5.2565373448273816
0,4.864980453445686
0,7.324262233338846
0,6.440286233804121
0,6.5111514822734735
0,7.324262233338846
0,6.681455424053771
0,6.606167045821314
0,6.681455424053771
0,5.215539683199114
0,5.446886436926892
0,5.110806034550572
0,3.167750804693792
0,3.167750804693792
0,3.167750804693792
0,3.167750804693792
0,4.521074216979399
0,2.47822765844782
0,2.8972153226704815
0,6.3097061001703425
0,6.3097061001703425
0,6.09392143296705
0,4.035214835071993
0,5.698364912411148
0,5.129430911048319
0,4.907338006420686
0,4.770310315452293
0,3.2769336383326477
0,5.455627668091666
0,3.5592449730573072
0,3.5719566848868136
0,4.2160665261257755
0,5.864878021270514
0,3.5719566848868136
0,3.278467496678632
0,3.5592449730573072
0,5.552589002378609
0,5.930159484535554
0,5.3489596837922795
0,4.65222393523658
0,4.862731185137691
0,3.241347180954313
0,5.772585637414478
0,5.187105984857481
0,3.048030487437431
0,5.127537583994577
0,2.5476596156419666
0,3.0818364366685858
0,2.2924325023828778
0,1.5944407433944299
0,1.5047476078420599
