class,score
1,3.6375184491424672
1,3.2089792805963113
1,3.7409321374435325
1,3.5527471613009647
1,3.51143189235389
1,3.9815741215108513
1,3.987470379944233
1,4.7197770212255366
1,4.08828148822429
2,3.985694257889761
2,3.7745900541013198
2,3.806883310352269
2,3.3238910206453536
2,3.429485906240896
2,4.08184165512388
2,3.6303315694391496
2,3.5706696448830324
2,4.06512659433166
2,4.682011695631242
2,3.5808449720269073
2,4.34091375758429
2,3.3347596471584433
3,4.714479366400486
3,4.1203958660724735
3,4.226341088947773
3,4.612778433421628
3,4.262885627498141
3,4.309992008966542
3,4.157696973538698
3,4.043611375698369
3,3.889077404115911
3,3.313179579266966
